name,address
ИК-12 Сарапул,"г. Сарапул, ул. 20 лет Победы д. 27"
ИК-5 Донской,"г. Донской, микрорайон Шахтерский, ул. Луговая д. 1 а"
ИК-8 Омск,"г. Омск, ул. Доковская д. 3"
ИК-5 Кемерово,"г. Кемерово, ул. Буденного д. 33"
СИЗО-1 Тамбов,"г. Тамбов, ул. Мичуринская д. 55"
ИК-7 Омск,"г. Омск, ул. Доковский проезд д. 6"
ИК-6 Ишим,"г. Ишим, ул. Республики д. 74"
ИК-3 Пановка,"Пестречинский р- н, с. Пановка, ул. Центральная д. 7"
ИК-6 Омск,"г. Омск, ул. 10 лет Октября д. 176"
ИК-3 Сафоново,"г. Сафоново, микрорайон Горный, пос. Шахта 3"
Тюрьма Минусинск,"г. Минусинск, ул. Горького д. 114 Тюрьма"
ИК-10 Екатеринбург,"г. Екатеринбург, ул. Монтерская д. 5"
ИК-5 Нижние Вязовые,"Зеленодольский р- н, пос. Нижние Вязовые, ул.Комсомольская д.1"
СИЗО-5 Ростов-на-Дону,"г. Ростов-на-Дону, ул. Тоннельная д. 4"
ИК-17 Пугачев,"г. Пугачев, ул. Камышинский переулок д. 9"
ИК-2 Новоульяновск,"г. Новоульяновск, пос. Северный"
ИК-5 Сухиничи,"г. Сухиничи,"
ИК-18 Новосибирск,"г. Новосибирск, ул. Ключ- Камышенское плато д. 6/3"
ИК-13 Энгельс,"г. Энгельс, ул. Функциональный проезд д. 8"
ИК-4 Тюмень,"г. Тюмень, ул. Авторемонтная д. 23"
СИЗО-2 Ирбит,"г. Ирбит, ул. Кирова д. 29 А"
СИЗО-3 Кизел,"г. Кизел, ул. Щорса д. 26"
ИК-3 Омск,"г. Омск, ул. Энтузиастов д. 14"
СИЗО-1 Кострома,"г. Кострома, ул. Советская д. 88"
ИК-15 Батайск,"г. Батайск, ул. Горького д. 358"
ИК-1 Ярославль,"г. Ярославль, ул. Хлебная д.12"
ИК-2 Салават,"г. Салават, Станция Южная"
ИК-5 Новотроицк,"г. Новотроицк, поселок Максай"
ИК-6 Рославль,"г. Рославль, ул. К. Маркса д. 14"
ФКЛПУ ОТБ-1 Саратов,"г. Саратов, Заводской р-н, ул Азина"
ИК-5 Челябинск,"г. Челябинск, ул. Сталеваров д. 10"
ИК-15 Нижневартовск,"г. Нижневартовск, пос. Северный"
ИК-2 Просвет,"Кетовский район, станция Просвет"
СИЗО-1 Пенза,"г. Пенза, ул. Каракозова д. 30"
ИК-18 Мурмаши,"Кольский р- н, пос. Мурмаши, ул. Зеленая д. 10"
ИК-7 Пакино,"Ковровский р- н, пос. Пакино, ул. Центральная д. 1-А"
ИК-3 Новосибирск,"г. Новосибирск, ул. Звездная, д. 34"
СИЗО-4 Шахты,"г. Шахты, пос. Кирпичный"
ИК-11 Кирово-Чепецк,"г. Кирово- Чепецк, деревня Утробино"
ИК-21 Североонежск,"Плесецкий р-н, п. Североонежск, 2 микрорайон, д.10"
СИЗО-2 Уссурийск,"г. Уссурийск, ул. Энгельса д. 63"
ИК-33 Абакан,"г. Абакан, Молодежный квартал д. 22"
ИК-11 Явас,"Зубово- Полянский р-н, пос. Явас, ул. Дзержинского д. 39"
ИК-2 Нижний Новгород,"г. Нижний Новгород, ул. Коломенская д. 20"
СИЗО-1 Нальчик,"г. Нальчик, ул. Вологирова д. 20"
ИК-7 Арейское,"Емельяновский р- н, с. Арейское, ул. Солнечная д. 1"
ИК-2 Кочубеевское,"Ставропольский край, с. Кочубеевское, ул. Станционная д.11"
ИК-9 Акбулак,"Акбулакский р- н, поселок Акбулак"
ИК-8 Оренбург,"г. Оренбург, гора Сулак, ул. Донгузская д. 143"
ИК-2 Челябинск,"г. Челябинск, ул. Монтажников д. 7 А"
ИК-7 Социалистический,"Щекинский р- н, поселок Социалистический"
СИЗО-1 Саранск,"г. Саранск, ул. Рабочая д. 147"
ИК-19 Ухта,"г. Ухта, ул. Промышленная д. 3"
ИК-5 Нарышкино,"п. Нарышкино, ул. Заводская д. 62"
ИК-10 Ростов-на-Дону,"г. Ростов-на-Дону, пер. Казачий д. 22"
ИК-6 Иковка,"Кетовский район, с. Иковка"
ИК-2 Ангарск,"г. Ангарск, 1-й промышленный массив, квартал 47 д. 6"
ИК-5 Нижний Тагил,"г. Нижний Тагил, ул. Шевченко д. 6"
ИК-17 Шексна,"поселок Шексна, ул. Дзержинского д. 6"
СИЗО-1 Калининград,"г. Калининград, ул. Ушакова д. 2-4"
СИЗО-3 ФСИН России,"г. Санкт- Петербург, ул. Шпалерная д. 25"
ИК-8 Стерлитамак,"г. Стерлитамак, п. Строймаш, ул. Гайдара, д. 4"
ИК-10 Горное,"Михайловский р- н, п. Горное, ул. Ленина д. 25"
СИЗО-5 Пермь,"г.  Пермь, ул. Соликамская д. 246-а"
СИЗО-3 Оренбург,"г. Оренбург, ул. Калининградская д. 192"
ИК-6 Бежецк,"г. Бежецк, ул. Новая д. 60-а"
ИК-14 Новочеркасск,"г. Новочеркасск, Новый городок, ул. Макаренко 60"
ИК-62 Ивдель,"г. Ивдель, ул. Заводская д. 1"
ИК-18 Магнитогорск,"г. Магнитогорск, пер. Танкистов д. 19 А"
ИК-6 Иркутск,"г. Иркутск, ул. Булавина д. 1"
ИК-54 Новая Ляля,"г. Новая Ляля, ул. Бажова д. 89"
ИК-9 Уфа,"г. Уфа, ул. Новоженова д. 86 А"
СИЗО-5 Канск,"г. Канск, ул. Кайтымская,д. 122 СИЗО-5"
Тюрьма Балашов,"г. Балашов, ул. Уральская д. 17"
ИК-10 Всесвятская,"Чусовской р- н, ст. Всесвятская"
ИК-6 Талицы,"Южский р- н, пос. Талицы, ул. Школьная д. 10"
ИК-5 Сарапул,"г. Сарапул, ул. Раскольникова д. 53-а"
ИК-4 Вязники,"г. Вязники, ул. Железнодорожная д. 37"
ИК-7 Калуга,"г. Калуга, ул. Грабцевское шоссе д.39 б"
ИК-2 Талицы,"пос. Талицы, ул. Ленина д.18"
ИК-9 Монино,"Нелидовский городской округ), дер. Монино"
СИЗО-1 Грозный,"г. Грозный, ул. Кунта-Хаджи Кишиева д. 2"
ИК-15 Самара,"г. Самара, ул. Утевская д. 18 А"
ИК-9 Шахты,"г. Шахты, ул. Открытая д. 10"
ИК-2 Косиново,"г. Курск, пос. Косиново д.1А"
ИК-28 Ленинск,"г. Ленинск, ул. Промышленная д. 12"
ИК-5 Самара,"г. Самара, ул. Утевская д. 1"
ИК-8 Хохряки,"Завьяловский район, поселок Хохряки"
ИК-1 Сосновка,"Зубово-Полянский р-н, поселок Сосновка, ул. Почтовая д. 8"
ЛИУ-32 Минусинск,"г. Минусинск, промплощадка ОАО ЭЛКО, ул. Энтузиастов д.6"
ИК-14 Тогучин,"Тогучинский р- н, г. Тогучин, ул. Блюхера,д.2 А"
ИК-19 Казань,"г. Казань, ул. Магистральная д. 18"
ИК-9 Водстрой,"г. Волгоград, ул. им. Костюченко д. 12"
ИК-14 Горка-Муравьевская,"Вельский р- н, д. Горка- Муравьевская, Спецгородок, д.1 А"
ИК-1 Оренбург,"г. Оренбург, пер. Крымский д. 119"
ИК-3 Двубратский,"пос. Двубратский, ул. Степная д.1"
ИК-27 Красноярск,"г. Красноярск, ул. Кразовская д. 6"
ИК-9 Рубцовск,"г. Рубцовск, ул. Тракторная д. 26"
ИК-7 Бычиха,"Костромской р- н, поселок Бычиха- 12"
ИК-16 Краснотурьинск,"г. Краснотурьинск, ул. 2-я Заречная д.  9"
СИЗО-2 Новозыбков,"г. Новозыбков, ул. Красная площадь д. 9"
ИК-29 Кемерово,"г. Кемерово, ул. Стройгородок"
ИК-6 Шипуново,"с. Шипуново, ул. Заводская д. 48 А"
ИК-5 Моршанск,"г. Моршанск, ул. Сурикова д.39"
ИК-7 Валуйки,"г. Валуйки, ул.Тимирязева д. 1 А"
ИК-2 Асино,"г. Асино, ул. Мичурина д. 7"
